,YEAR,MONTH,CAN
235,2019,8,1.3202
236,2019,9,1.3332
237,2019,10,1.3235
238,2019,11,1.3145
239,2019,12,1.3298
240,2020,1,1.2998
241,2020,2,1.3295
242,2020,3,1.3334
243,2020,4,1.4222
244,2020,5,1.4102
245,2020,6,1.3603
246,2020,7,1.3579
247,2020,8,1.3408
248,2020,9,1.3043
249,2020,10,1.3289
250,2020,11,1.3255
251,2020,12,1.2958
